分组,英雄名字,生存能力,攻击伤害,技能效果,上手难度,最大生命,最大法力,物理攻击,法术攻击,物理防御,物理减伤率,法术防御,法术减伤率,移速,物理护甲穿透,法术护甲穿透,攻速加成,暴击几率,暴击效果,物理吸血,法术吸血,冷却缩减,攻击范围,韧性,生命回复,法力回复
14,盘古,10,8,8,6,3067,0,154,0.0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
14,猪八戒,10,8,10,6,3067,0,154,0.0,99,14.1%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,76,0
6,嫦娥,10,10,10,5,1600,440,152,,79,12.6%,50,7.6%,395,,,,,0%,,,0%,远程,,46,15
0,瑶,10,7,8,5,3010,440,162,0.0,87,12.6%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,43,16
0,上官婉儿,5,7,8,6,3215,440,152,0.0,79,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
0,沈梦溪,6,8,10,6,3238,440,171,0.0,87,12.6%,50,7.6%,396,0,0,0,0,0%,0,0,0%,远程,0,46,15
0,伽罗,4,10,8,5,3173,490,205,0.0,84,12.2%,50,7.6%,350,0,0,0,0,0%,0,0,0%,远程,0,39,18
10,盾山,10,5,10,5,3041,125,171,0.0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
8,司马懿,4,3,8,7,3166,490,165,0.0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
14,孙策,8,5,8,4,3237,420,151,0.0,97,13.9%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,80,15
13,米莱狄,3,2,8,4,3166,490,165,0.0,91,13.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,45,18
5,狂铁,6,6,6,5,3263,90,1066,0.0,95,13.6%,50,7.6%,380,0%,0%,0%,0%,200%,0%,0%,0%,近程,0%,50,0
4,裴擒虎,5,8,6,9,3483,450,159,0.0,99,14.1%,50,7.6%,380,0,0,0%,0%,200%,0%,0%,0%,近程,0%,53,16
0,杨玉环,7,5,8,5,3238,470,159,0.0,96,13.7%,50,7.6%,360,0,0,0,0,0%,0,0,0%,远程,0,38,17
17,公孙离,3,5,8,8,3041,200,175,0.0,91,13.1 %,50,7.6 %,350,,,,,200%,,,0%,远程,,46,50
7,弈星,3,5,8,7,2958,470,159,159.0,93,13.4%,50,7.6%,360,,,,,200%,,,0%,远程,,42,17
16,明世隐,3,4,8,5,3182,420,161,0.0,86,17.2%,50,7.6%,340,0,0,0,0,200%,0,0,0%,近程,0,41,16
10,梦奇,9,5,6,6,3041,125,171,0.0,79,11.6%,50,7.6%,530,0,0,0,0,200%,0,0,0%,近程,0,50,25
4,百里玄策,5,8,8,10,3359,450,178,0.0,88,12.7%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,16
1,苏烈,9,5,5,5,3369,0,171,0.0,93,13.4%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,56,0
0,百里守约,3,6,8,6,3182,440,161,0.0,86,12.5%,50,7.6%,350,,,,200,0%,,,0%,远程,,41,16
15,元歌,4,6,4,4,3269,0,177,0.0,89,12.9%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,0
12,女娲,3,7,3,6,2958,470,159,0.0,93,13.4%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,42,17
12,鬼谷子,4,7,3,4,3200,490,168,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,45,18
11,铠,6,4,5,6,3267,430,173,0.0,84,12.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,15
8,干将莫邪,3,6,8,9,3189,490,159,0.0,92,13.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,远程,0,45,17
0,东皇太一,9,5,6,6,3201,470,163,0.0,90,14.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,53,17
0,艾琳,3,6,8,6,3182,440,161,0.0,86,12.5%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,41,16
8,大乔,3,3,6,8,2958,470,159,0.0,93,13.4%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,42,17
12,黄忠,2,8,4,3,3173,440,172,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,39,16
8,诸葛亮,3,6,8,8,3135,490,156,0.0,87,12.6%,50,7.6%,350,0,0,0,0,0%,0,0,0%,远程,0,44,18
4,哪吒,9,7,7,9,3483,450,159,0.0,99,14.1%,50,7.6%,380,0,0,0%,0%,200%,0%,0%,0%,近程,0%,53,16
3,太乙真人,8,4,5,5,3443,420,154,0.0,94,13.5%,50,0%,360,0,0,0,0,0%,0,0,0%,近程,0,49,15
4,杨戬,8,7,6,6,3339,420,166,0.0,98,14%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
12,成吉思汗,4,8,4,7,3027,440,184,0.0,94,13.5%,50,7.6%,370,0,0,0,0,200%,0,0,0%,远程,0,37,15
15,橘右京,6,6,5,2,3150,0,165,0.0,96,13.7%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,48,0
17,马可波罗,7,5,6,6,3041,200,175,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,46,50
16,雅典娜,3,6,8,6,2862,430,162,0.0,106,15%,50,7.6%,410,0,0,0,0,200%,0,0,0%,近程,0,44,15
11,夏侯,4,6,5,4,3307,430,159,0.0,101,14.4%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
8,蔡文姬,6,3,5,8,3238,470,159,0.0,96,13.7%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,38,17
1,关羽,9,5,6,7,3322,10,170,0.0,101,14.4%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,0
12,虞姬,3,8,5,7,2977,440,165,0.0,84,12.2%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,36,16
17,不知火舞,3,5,9,9,3235,200,170,0.0,89,12.9%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,46,50
9,刘邦,8,4,7,5,3369,470,158,0.0,125,17.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,58,17
12,李元芳,4,8,4,5,3007,440,161,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,37,15
9,张飞,9,2,5,7,3450,100,153,0.0,125,17.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,57,5
19,钟馗,9,3,7,8,3420,490,162,0.0,99,14.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,近程,0,57,17
0,后羿,3,6,8,6,3182,440,161,0.0,86,12.5%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,41,16
12,刘备,3,9,3,7,3081,440,169,0.0,88,12.7%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,38,15
16,露娜,1,4,10,8,3021,450,163,0.0,102,14.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,52,16
18,宫本武藏,3,10,4,9,2902,0,157,0.0,106,15%,50,7.6%,400,0,0,0,0,200%,0,0,0%,近程,0,47,0
18,花木兰,2,9,5,9,2886,0,170,0.0,86,12.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,44,0
11,兰陵王,2,10,4,6,3292,450,171,0.0,85,12.4%,50,7.6%,400,0,0,0,0,200%,0,0,0%,近程,0,52,19
11,娜可露露,3,7,6,5,3239,450,173,0.0,86,12.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,47,16
16,李白,3,6,8,6,2968,450,169,0.0,98,14%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,49,16
8,周瑜,2,5,9,7,3093,490,160,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,44,17
8,张良,2,3,10,8,3027,490,170,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,43,18
15,芈月,5,4,7,3,3105,100,152,0.0,88,12.7%,50,7.6%,370,0,0,0,0,200%,0,0,0%,远程,0,44,0
0,貂蝉,2,6,7,6,3019,490,167,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,43,17
19,牛魔,9,2,5,7,3537,470,156,0.0,109,15.3%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,58,17
1,曹操,6,6,5,6,3531,0,174,0.0,104,14.7%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,54,0
11,孙悟空,5,5,5,4,3305,430,167,0.0,98,14%,50,7.6%,380,0,0,0,20,200%,0,0,0%,近程,0,50,15
1,吕布,5,8,3,5,3564,0,170,0.0,99,14.1%,50,7.6%,370,0,0,0,0,200%,0,0,0%,近程,0,54,0
9,白起,9,4,4,3,3510,420,158,0.0,120,16.6%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,58,14
18,阿轲,2,10,4,6,3269,0,177,0.0,89,12.9%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,0
19,墨子,8,3,5,6,3083,420,181,0.0,102,14.5%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
9,廉颇,9,4,5,4,3558,420,163,0.0,132,18%,50,7.6%,370,0,0,0,0,200%,0,0,0%,近程,0,59,15
11,赵云,7,6,6,5,3267,430,173,0.0,84,12.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,50,15
0,孙尚香,5,7,6,7,3235,440,172,0.0,89,12.9%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,40,15
0,王昭君,4,8,7,8,3083,490,165,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,44,17
3,达摩,9,6,2,4,3213,420,171,0.0,95,13.6%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,51,15
9,庄周,9,2,4,4,3311,420,170,0.0,150,20%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,55,15
12,武则天,4,9,6,6,2860,490,173,0.0,95,13.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,40,18
0,嬴政,6,6,7,6,3125,490,157,0.0,91,13.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,44,17
4,钟无艳,8,7,7,6,3150,430,164,0.0,100,14.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,48,15
8,孙膑,7,4,6,7,3208,470,176,0.0,98,14.1%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,45,17
9,项羽,8,5,7,4,3535,420,157,0.0,123,17%,50,7.6%,370,0,0,0,0,200%,0,0,0%,近程,0,55,20
2,程咬金,8,6,5,3,3437,0,161,0.0,125,17.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,远程,0,57,0
16,韩信,3,6,8,8,2988,430,172,0.0,92,13.2%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,45,15
0,狄仁杰,5,7,8,6,3242,440,169,0.0,95,13.6%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,40,15
12,扁鹊,4,7,3,4,3205,490,168,0.0,87,12.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,45,18
0,安琪拉,5,9,8,6,3323,490,170,0.0,83,12.1%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,47,17
13,小乔,1,5,8,4,3088,490,153,0.0,95,13.6%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,44,18
13,妲己,1,4,9,3,3229,490,170,0.0,86,12.5%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,46,18
3,老夫子,6,7,3,6,3370,430,168,0.0,100,14.2%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,51,16
1,亚瑟,7,6,5,3,3622,0,164,0.0,98,14.1%,50,7.6%,390,0,0,0,0,200%,0,0,0%,近程,0,55,0
9,刘禅,8,3,5,3,3364,420,178,0.0,139,20%,50,7.6%,380,0,0,0,0,200%,0,0,0%,近程,0,56,15
0,鲁班七号,4,7,6,6,3401,440,174,0.0,88,12.7%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,42,15
12,甄姬,5,8,6,3,3041,490,165,0.0,87,12.6%,50,7.6%,360,0,0,0,0,200%,0,0,0%,远程,0,43,18
3,典韦,5,8,3,3,3434,430,168,0.0,89,12.9%,50,7.6%,370,0,0,0,0,200%,0,0,0%,近程,0,52,16
13,姜子牙,1,2,10,3,2958,490,168,0.0,106,15%,50,7.6%,350,0,0,0,0,200%,0,0,0%,远程,0,42,18
13,高渐离,2,4,9,5,3122,490,163,0.0,98,14%,50,7.6%,370,0,0,0,0,200%,0,0,0%,远程,0,44,17
