,sister_comment
0,回复@一只鹿的璐6:1G 
1,骚呢 
2,开车罚款 81万 
3,回复@万事皆难你可爱就够了: 
4,回复@Kerwin_庆:具体情况具体分析 
5,回复@Priapus_dh:啊这 
6,回复@有rourou:持久的很 
7,回复@番茄配吐司:@id好听且带古风 
8,回复@leungeuro:l 
9,回复@滚过来舔包: 
10,回复@故人好梦:what？ 
11,回复@季俩婷er:层主派我来了 
12,回复@今天也想吃糖ya:秀啊 
13,回复@Tutu彤_:哈哈哈 
14,回复@1128张情书:我之前就看过这个海报了 
15,回复@MeNdaCIous_:冈本不滑，哈哈哈 
16,有的事情可以快的同时，慢下来 
17,回复@高数永远爱我:？ 
18,回复@谁说戈壁滩不会有灯塔:所以。。 
19,81万的罚款不算啥，我就喜欢杜杜的硬刚文案👍👍👍 
20,回复@_无人问我粥可暖_:太内涵了 
21,回复@未知花生了什么:杜蕾斯的广告一向很优秀啊 
22,回复@-鱼头泡饼:？？？ 
23,回复@男朋友是爱哭鬼:慢慢来 
24,回复@莱康村村民:懂啦！哈哈谢谢 
25,回复@扶阿斗的人:找女生干嘛 
26,回复@异形:我看这个来 
27,回复@薇哥哥_:他们很棒，所以……现在你是前任 
28,回复@ChloeinNeverland:哈哈哈哈哈哈哈 
29,回复@丹屯:我很快吗？ 
30,回复@大圣爱吃车厘子:文案鬼才 
31,回复@Qyin-:没怎么用过，不太了解 
32,回复@FFFFUCKINGUUU:噗，懂! 
33,回复@巧克力今天化了:冒看懂??? 
34,@梓汀 
35,回复@Aaron_0729:锤你 
36,回复@媛茫茫:我还以为是苹果12发布，我寻思着你艾特我干嘛啊 
37,回复@独角兽爱表演:WiFi，贼快 
38,回复@大闸蟹奥特曼:我还艾特你了 
39,既快又久，咋地？！哈哈 
40,回复@阿噜是噜不是狗: 
41,着词牛 
42,回复@Aaron_0729:wi—fi是啥？ 
43,杜蕾斯就喜欢这种人才哈哈哈哈哈//@leungeuro:“配件，也很重要” 
44,回复@vdwiy:希望我未来的npy可以遵循这一条 
45,回复@张洁呀_:我快？！ 
46,老哥，稳👍 
47,求在安徽合肥的或者安徽江苏浙江的女生私信！素觉也可以！就算不睡觉，在合肥万达乐园玩过山车也行！当交朋友 
48,回复@秃头小卷毛:你就是想试试 
49,回复@嘟嘟丶小黄色:拿着爱的号码牌 
50,回复@独角兽爱表演:俺是Wi-Fi 
51,回复@Sunshine丶xiao玮:可以但是没有必要 
52,回复@小胖没有橘:哈哈哈哈哈哈哈哈哈哈哈哈，鬼才营销 
53,罚单正向你快速奔来 
54,回复@常安歌家那女的:对不起我慢不下来 
55,回复@xxxsmxxx_:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
56,回复@leungeuro:草 
57,回复@小芙蝶大王:哪里不妥我给你分析分析 
58,好配件 
59,杜蕾斯文案很🐮 
60,回复@小余同学吖-:ghs 
61,回复@磕死夏弥:比如说 
62,再快一点 
63,回复@bxxrw:好 
64,回复@晚间心动:我一个男的居然还是第一次听说这玩意 
65,回复@王一博你睡觉别压我头发:简直绝 
66,回复@你永远也叫不醒一个装睡的宋铎:心动的是文案不是产品哈 
67,回复@精神分裂症早期:是给寄一次性筷子么？ 
68,回复@BornStubborn5:抄袭，不配 跟抖某音狗一个德行，啥红抄啥 
69,回复@昨天还是青春:一动不动是王八 
70,回复@何妨少年狂:不好不好，别抖机灵 
71,回复@Sunshine丶xiao玮:我看不妥 
72,回复@小饶的珍珠:无处不在杜蕾斯 
73,回复@啵吻甜鑫:哈哈哈哈哈哈哈哈哈 
74,回复@晚婚v:牛的  老文化人了 
75,感觉今年的某水果发布会文案一般了 
76,回复 @图诗z:哎呀你还是太惯着我 
77,回复@多戈是只狗:你不对劲 
78,回复@丫头也有梦想:这就是你分手的理由吗 
79,回复@晓晓阔爱:吃独食是吧 
80,回复@小芙蝶大王:这事得听你姐们的 
81,回复@仙仙qwe:工具人 
82,回复@冷不丁不冷l:不懂 
83,回复@4hannn: 
84,回复@皖男L: 
85,回复@葡萄啵啵加奶盖:牛逼 
86,哈哈哈啊哈哈哈哈哈哈哈哈 牛啊 
87,回复@风不如你温柔:我又不快 
88,回复@二三皮卡皮卡:牛批 
89,@睡不醒de丸酱 这个文案也撩人么？ 
90,回复@一梦甜甜圈:你可以快一点哈哈哈哈哈哈哈哈哈 
91,@图诗z  
92,回复@嫣嫣燕然:选个好配件 
93,还是杜杜骚啊 
94,回复@leungeuro:@出门要带耳机 
95,说骚话被罚81万哈哈哈哈哈哈 
96,@zzzzm233 
97,@乐崽的微博 你可以慢一点 
98,回复@话痨洛:我还没做过，处男 
99,回复@Priapus_dh:这么狠 
100,回复@leungeuro:@金牌打手小庄 怎么个意思 
101,回复@一颗柠檬Tea_: 
102,回复@一觉睡到自:不能太快！ 
103,回复@平时多吃水果:嗯 
104,@_Koyan__ 
105,来 
106,回复@小栗爻零:我不持久吗 
107,回复@等一个陪我练琴的大金毛:哈哈哈哈哈 然后罚款就来了… 
108,回复@迷惑梦梦子:那你心动了吗 
109,回复@给你我最温暖的阳光:杜蕾斯还是杜蕾斯 
110,回复@龙星凉昨晚真猛:哈哈哈哈哈哈哈哈哈哈哈笑死了 
111,回复@CELY夏:运气真好 你单身吧 
112,回复@平时多吃水果:一盒吧 无心插柳 只是因为喜欢文案 只是碰巧关注 
113,回复@萌了个萌_:淦 
114,@hypnotize3 看评论 
115,我就是戴套快，不带套才能持久战 
116,回复@CELY夏:你运气好好哦 几盒啊？ 
117,回复@平时多吃水果:哈哈哈真的吗 期待 
118,回复@阿喵是喵不是猫:“配件，也很重要” 
119,回复@一颗靓仔牛奶糖鸭:我看这个了！第一条评论笑死我 
120,回复@超哥帅过库兹马:你慢点 
121,回复@吃不吃一稞呢:那我就是3g吧 
122,被通报批评的水平 
123,回复@笑着拉屎的姑娘:哈哈哈啊哈哈哈对哈哈哈哈 
124,回复@比c丘m尼c:很快。。 
125,回复@HQL8013:这条广告被罚了啊 
126,回复@爱笑的小朋友1995:你买 
127,回复@保护我方泥鳅-:？？ 
128,回复@CELY夏:听说还有很特别的包装 
129,回复@记得放火CC: 
130,回复@7枚针7:评论就很有才 
131,5G给你速度，杜杜给你温度 ¡查看动图 
132,就这？ 
133,回复@美女在的: 
134,都愣着干嘛，都鼓掌啊....//@自閉宇宙_
135,回复@IFishbiooi_:？ 
136,回复@小猫妹妹吖:？？？ 
137,回复@平时多吃水果:001 
138,回复@邦杰士521:最新001呀 
139,回复@GYJanice:我是6G 
140,都是人才 
141,回复@楊小可以_:牛 
142,回复@Zhangshiyang-_:快而不敷衍 
143,回复@水原车厘子z: 
144,回复@JeongHL:哈哈哈哈哈哈牛逼 
145,回复@Shine-will:天呐…🐷 
146,我来康康有没有人艾特另一个人的 
147,回复@别那么甜:江苏电话线了解一下  
148,回复@Jasper的小:得，那以后就买杜蕾斯 
149,回复@打字废陈:我看这个微博了没看这条评论 
150,回复@Starry-ciao:需要加钟吗 
151,回复@洗奶薇: 
152,回复@狂躁的马铃薯: 
153,回复@双门洞豹子女士_: 
154,@是2020年的快乐猪猪 
155,回复@深海不知未眠:差点没看出来这个OOL是啥我估计你以后会爱上这个 超薄 
156,回复@Lm-修:哈哈哈哈哈哈哈哈哈哈 
157,回复@鹿的林空鹿饮溪:慢慢来？ 
158,回复@爱王咪呀: 
159,@刘北方_ 
160,回复 @sYanax:？ 
161,回复@爱莹斯坦-:哈哈哈哈真是一个也不放过 
162,回复@o海盐芝士可颂o: 
163,回复@不想起床怎么了:???? 
164,回复@青禅棂: 
165,回复@CCCCCjeans:图片评论 O网页链接 
166,回复@不次香菜嗷: 
167,不要随便艾特我 
168,回复@leungeuro:@佳佳睡到自然醒- 
169,@比宁采臣帅的旭仔 杜蕾斯的文案总让我惊艳 
170,回复@Yu3_o3l4: 
171,回复@2020早点睡觉鸭:我怎么不懂 
172,@满溢与刚刚好_ 
173,回复@SenbonBalus:你很皮会啊 
174,回复@Ray_hann:怀疑你在开车但又没证据 
175,回复@善意第三人李某:ool 
176,我是2G 
177,回复@无敌黄小妹:顶你 
178,回复@无敌黄小妹: 
179,回复@不会22222222:什么麻烦 
180,回复@CELY夏:什么奖品 
181,回复@建议冰冻保存:热搜 
182,回复@不二家的路七:呵呵呵，你说快就快吧，您老开心就好 
183,回复@Evo4me: 
184,回复@西山不可刘:明白了!! 
185,回复@番茄配吐司:咱是E 
186,图片评论 ¡评论配图 
187,回复@Yys-Goddesses:都特么是异性，去挖墙脚 
188,回复@是智妮:还不懂嘛 
189,我的那事情，大概就是发展到6G了吧 
190,用杜杜，体验5g快感 
191,回复@_七月十四_:咋类 这不正常？ 
192,回复@碳酸士哆啤梨:不至于不至于不至于！！！！ 
193,回复@俊灏先森:不要乱@我，搞得我以为我爱情来了 
194,回复@要当锦鲤的小菇娘:哈哈哈哈哈，杜蕾斯广告部一直很行。 
195,回复@喵熊大仙:哈哈哈哈 
196,回复@TipsyNeon_: 
197,回复@浅池a: 
198,回复@卡卡崩嚓嚓: 
199,回复 @肉肉di女孩:不能射太快 
200,看广告文案首先杜蕾斯 
201,针不戳 
202, 
203,回复@MegAsh:哈哈哈 杜杜因为这个被罚钱了 
204,回复@Blessuresss:？？？？？ 
205,回复@H_Acerola:对于你，慢是煎熬 
206,回复@万事胜意-yeah:咦你好呕 
207,深入浅出，浅尝辄止 
208,回复@尼莫酱TT:混蛋 
209,@桃花换小鱼干好吗 “配件”也很重要 
210,回复@小气崽崽:？？ 
211,回复@AnyongYFJJ:我以为你不满意呢，吓死劳资 
212,@桃花换小鱼干好吗 笑死我了 
213,回复@ZanAnng: 
214,回复@席大仙在床上:@猫的夏目55- 
215,回复@ZzaoZann:我不快！！！ 
216,回复@小吉祥啊啊啊啊啊啊啊:然后就吃罚单了 
217,回复@AnyongYFJJ:哈哈哈哈哈我就是觉得有意思而已 
218,回复@科二没挂该多好:？这个文案你艾特我，我慌了呀 
219,回复@甦蘆蘆蘆蘆:我怀疑你在开车，现在比我都污 
220,@天若有情69000 ！！！别太快 
221,回复@Chinningl:你才快！你最快！ 
222,回复@ZzaoZann:有些事情！不能太快！ 
223,回复@载覆旧时光:这下好了，罚款来了吧！唉 
224,这这速度上我希望停留在BB机的时代 
225,回复@梅子-LYM:每每都被杜蕾斯的文案打败 
226,回复@茄子jiu酱_:好的，明白 
227,回复@勉妹阿:你整天看的都是啥 
228,回复@_Niuaniu:我要用这个！ 
229,回复@easymoneys35:惹 badbad了啦老公 
230,哈哈哈，这文案绝了 
231,回复@奔跑的五花肉不服输:你不对劲但是我喜欢 
232,回复@咸鱼丁强:你不对劲 
233,论文案，收下我的膝盖@杜蕾斯官方微博 
234,回复@常Cwy:怪不得人家稳居市场第一 
235,回复@桃溪一念:？？？好的，今晚别说受不了 
236,回复@加二的加一:上热搜了都 
237,回复@阿姆斯特丹的水手:我哪里快了？ 
238,回复@向上的莎子:后来呢？ 
239,回复@薇哥哥_:哪几个？ 
240,回复@巧克力可以:没有看懂 
241,回复@快让芝士拉丝儿:时间太长，也不是啥好事 
242,回复@Priapus_dh:怎么夹的？ 
243,回复@多戈是只狗:现在呢？ 
244,回复@不爱咖喱的咖喱pin:每次杜蕾斯的安全系数都让你失望 
245,回复@PbYilia-:哈哈哈哈哈哈哈哈哈 这广告被罚了80万 
246,回复@潘博语是宝贝:冲他吗的 
247,回复@梭哈嗷:6哥 
248,说说你们用持久装的感受 
249,回复@徒孙无忌:牛逼啊 
250,牛的哇 
251,回复@脆枣女孩呗:嗯？ 
252,回复@小伙子巭孬嫑夯飙车哟:哈哈哈哈啊哈哈哈 
253,回复@杜蕾斯官方微博:光有配件没有用！你寄个手机套，有没有问过他有没有手机呢？ 
254,回复@CELY夏:中的什么呀 
255,回复@鱼丸加芥末:很复杂啊，谈了一两年分手的，分手后两年多没见面但是有联系，后来都放不下就见面了，然后很心动差点复合，处于复合过程中然后又掰了啊 
256,阿哈哈哈哈哈哈哈哈！他妈的我中奖了居然！我第一天关注杜杜 喜欢你们文案好久了！哈哈哈哈不知道说啥 能再顺便送个对象吗！ 
257,回复@CCor陈晨:当然不是啦，分手时候22岁，然后后面两年没有见面，后来再见还是很心动，然后就差点复合那不是又擦出来火花了，只不过去年我俩吵架掰了没复合成 
258,回复@今宵明月照山河-:c 
259,回复@国文吸: 
260,回复@leungeuro:@今晚与我缠绵- 哈哈哈哈哈 
261,回复@Jushuang-:ohhhhhhhhh我也想要和你配件 
262,@ECPhotography 
263,回复@-水星观察日记-:？ ？ ？ 官方微博 你不对劲 你是关注了嘛 ？ ？ ？ 
264,生死看淡，不服就干！ 
265,回复@陈敏吃不饱:我不用杜蕾斯 
266,回复@leungeuro:@某寿寿寿寿飕飕飕飕 
267,@默默墨80527 
268,回复@大家好我是一个帅哥:哈哈哈哈哈我想求一個原圖 
269,牛逼的文案，值千万 
270,回复@苏一驼:妈鸭 
271,回复@微博抽奖平台:@快乐小晨- 
272,来了 
273,回复@心想事成诚成_:666 
274,@MambaGirl劉倩欣 
275,回复@番茄配吐司:卡了 
276,回复@想着婷:笑死哈哈哈哈哈哈哈哈哈哈哈哈 
277,回复@草莓佳心棉花糖:啥玩意 玩具啊？ 
278,回复@镹镹-:哈哈哈哈哈 
279,招惩罚了吧？ 
280,回复 @小楊人YJ:？ 
281,回复@叫我橘子气泡水:我不可能慢下来！ 
282,回复@热化学方程式: 
283,回复@温火火温水水:？ 
284,回复@嘎嘣脆的小熊软糖_:快？哈哈哈哈 
285,回复@leungeuro:@捎点夜宵给月亮 笑🐭 
286,回复@Soeager:我不快 
287,@小豆猴哟 
288,回复@一定要吃火锅:嘿嘿嘿 
289,回复@是小丑i:那岂不是很快 
290,杜蕾斯比杰士邦有文采多了 
291,回复@正拾柒:谁都以为热情它永不会减 
292,回复@正拾柒:秀儿…… 
293,这评论也太精彩了哈哈哈哈哈哈能不能分配个对象给我 
294,回复@松岛吉吉酱:不会吧不会吧 
295,回复@原来日语字符用不了噢:可以呢你 
296,回复@七个7_:哈哈哈哈哈我要笑死 
297,回复@叫我福音大人:你不需要，这是什么虎狼之词哈哈哈哈哈哈哈哈 ¡评论配图 
298,每次发布会都不放过！ 
299,回复@杜蕾斯官方微博:我也要配件 
300,中了我把它卖给有需要的人 
301,回复@石际上:再送我一个男朋友哦 
302,666 
303,哈哈哈哈 
304,回复@不二家的路七:好多个G 
305,回复@小陆的宝马沈:没 只是觉得这个广告很内涵 
306,回复@拿键盘怼键盘侠: 
307,回复@微博抽奖平台:哈哈哈哈哈哈 还有30min 
308,回复@杀人狂魔苟尾草:哈哈哈哈哈哈哈 
309,回复@噢是blue:哈哈哈哈 那你男朋友应该蛮久的 9久+1久！ 
310,回复@小岚酱ww:不相信，应该没处多久 
311,回复@羊皮说叫格辛叭: 
312,回复@吃布丁的小胖惟:卧槽牛逼 
313,回复@Edison啊哈哈哈:在哪买 
314,回复@木子日天金名: 
315,回复@知名网友小Deng:啊哈哈哈哈哈哈真是一绝 
316,不亏是杜潮 
317,回复@小何靓仔的梦_:嘿嘿嘿 
318,回复@那打个嗝吧:把你打一顿 
319,回复@leungeuro:@EeSciQ 这个文案比官方好 我看了评论才看懂 
320,@顏zZ @母亲如佛渡我一生 
321,回复@桥本环奈全球分奈:哈哈哈 
322,回复@甜甜的赞哥呀:哈哈哈哈哈绝了 
323,回复@L_yman: 
324,转发微博 
325,回复@Hey你的酸奶:？？ 
326,回复@阿天不黑:哈哈哈哈哈 
327,回复@派大曹:唉～别说了，今天刚整完，后面还有呢。我也挺想弄这种的，条件不允许啊（郁闷.jpg） 
328,回复@路-过-而已:哈哈哈哈 
329,回复@6块腹肌与理想:不正经啊 ¡评论配图 
330,回复@舍不得一口吃掉:艾特我干嘛你 难道我很快嘛 
331,回复@岑欢欢呀:这个可不能接上5G 
332,回复@绿茶Somnus:不能太快 
333,回复@木子日天金名:不是 我给你看而已啊 臭猪 哈哈哈哈哈 
334,回复@飞飞大阔爱lzn:哇哦，它又正常回来了，杜蕾斯 
335,回复@微博抽奖平台:@潜意识的秋裤  
336,回复@L_yman:？？？？？我很快？ 
337,回复@沉默寡言李二狗:一天天的微博冲浪好勤快 
338,回复@沉默寡言李二狗:so，why you  @   me？ 
339,回复@A-Lin浓眉小虎牙: 
340,回复@LiLYER-: 
341,任何热点，杜蕾斯都是这么能干。#苹果发布会# 
342,回复@小韩少女的梦:请你慢慢来！ 
343,回复@JayyyDx: 
344,回复@穆彤同学:？？？？？ 
345,回复@Arlue-fan:嗯？？？ 
346,@Ked45 
347,回复@zzhangyp-:？？ 
348,回复@在逃公主Lenny酱:哈哈哈， 
349,杜杜的文案，一直都不会让你失望 
350,回复@Double阿呆:我没懂 
351,回复@Leo是无业游民:我没明白什么梗 
352,回复@张千府:男朋友好吧 
353,回复@海海treebaby:让后就把人家甩啦？？七年呀 
354,回复@Priapus_dh:劲这么大的嘛 
355,回复@南歌HA:配件，也很重要 
356,回复@Cassie超甜小卡:我也可以缓慢但持久 
357,我想看看配件硬不硬 
358,回复@快让芝士拉丝儿:饱汉子不知饿汉子饥～我羡慕一下 
359,回复@精神分裂症早期:然后呢没了？ 
360,环保 环保 环保 
361,回复@Karlieeee-:笑死了 
362,回复@聂芳雪a_拉suo:？？ 
363,你浪一点，我慢一点，这样我们就会很浪漫。 
364,回复@张安生Skrrr-:主要是 您真的很快呀 
365,回复@崔虾仁:你不对劲 
366,回复@番茄配吐司:有没有拨号的 
367,哈哈哈哈哈哈哈 
368,回复@精神分裂症早期:都那么大人了，还没做过，不要也罢剁了煲汤 
369,回复@逆水循环:？？？？？？？？？ 
370,奖品名称
371,回复@w姓坐标轴:棒 
372,回复@是小丑i:那你是几G呀 
373,回复@解夏吃夏玩: 
374,回复@做个早操吗:怎么样？昨晚战况如何 
375,回复@WinnerMVP: 
376,回复@精神分裂症早期:28了。 
377,回复@_Ppineapple:纳尼  
378,回复@臧子祺:那我倒不知道 
379,回复@江河湖海一帆舟:玩梗高手👍🏻 
380,回复@粽子也说他怕鬼:？？？ 
381,回复@叫我小谢就好_:啥意思了 
382,回复@番茄配吐司:上海2G想试试 
383,回复@_卑微小黄_:真敢啊 
384,回复@O-cccase:不知道说啥好了 我不需要这个 哈哈哈 
385,回复@到处野的李先森:屁屁屁 
386,回复@-靈魂小熊:然后就被罚了 
387,回复@一臭屁雯-:nmd 
388,回复@娇娇就吃亿口:c乐死了 
389,回复@最后一次后仰跳投:有些事情不能太快 
390,牛逼，安全用品保护两性的广告被罚，人流的广告却贴满了大街小巷无人管理。 
391,回复@36d不给你摸:我老正直了 
392,“硬件，就是配套” 
393,回复@番茄配吐司:@Ertyhvcffcvjub 
394,回复@-钻钻ZHUANGYING:我是大哥大的速度 
395,回复@-AsaSwanttt-:我也想买一本 
396,杜蕾斯真的是财大气粗。 
397,开得一手好车~ 
398,回复@深海不知未眠:要把大牌子全用一遍挑选 
399,回复@番茄配吐司:@甜桃姑姑 
400,回复@咸鱼丁强:你不对劲 
401,回复@HiVianne:我喜欢。 
402,回复@怕者:没有 很持久 
403,回复@王先生gg:不叫太安静了，有_____声。 
404,回复@啊羊Ovo:直接好家伙，看别的？划重点！ 
405,回复@今天也很喜欢彭漂亮:看别的咳嗽 
406,回复@滚过来舔包:No～ 
407,回复@啊羊Ovo:我直接好家伙，光明正大染色！ 
408,顶杜蕾斯pp(品牌) 
409,回复@我躲嘻嘻嘻:Hhhhhhhhhhhh日 
410,回复@Patience7-:想快都难，我还在2G冲浪，马上安排新配色杜蕾斯 
411,回复@是北哥啊喂:还早 
412,@忘了我叫啥来着 @-TamuraKafka- 杜蕾斯的文案确实有东西 
413,回复@你别皱眉Vivian:哈哈哈哈哈，你…… 
414,回复@挽风流kz:哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 
415,回复@老乡鸡:抓你进鸡笼 
416,明杜班 
417,回复@咚咚咚咚哐-:你这样让我很没面子 
418,回复@幺卜柯寂:杜蕾斯就是这么与众不同 
419,回复@爹爹西单:2G都快退网了 
420,心疼杜杜 
421,回复@我有一个小甜心bae:？ 
422,回复@北方的行者w: 
423,回复@馨馨还在睡:我可是2G哟 
424,回复@蛋蛋大同学:你估计按了快进⏩ 
425,回复@·吃太多會被殺掉喔:这方面我好像是村里1g网 
426,回复@虞甜甜不吃鱼:冲刺得快 
427,装逼 
428,回复@看你mb滚:听见了 我应该慢下来 
429,回复@老子就看你:听见没有 
430,回复@美滋滋的苏:老色胚 
431,回复@精神分裂症早期:30岁了，没体验过恋爱 
432,回复@未末OVO:哥哥不是不快吗 
433,回复@精神分裂症早期:还有处女 
434,回复@陆小铁柱:什么意思鸭 
435,没有男朋友 
436,回复@鲨鱼辣椒Frank: 
437,回复@fm做你的猫:好的我懂了 
438,回复@今天你想啾啾了吗:好好考虑一下我 
439,论蹭热度，我只服杜杜 
440,说这么多，没女朋友咋办 
441,回复@活力少女叮叮当:你@我是想用到你身上么？ 
442,回复@杜蕾斯官方微博:我看起来不需要配件吗？ 
443,回复@精神分裂症早期:21.可以一起尝试的点赞 
444, 
445,绝了 
446,回复@妈的智障的友人:弄 潮 儿 
447,回复@仙仙qwe:专家建议
448,回复@追狗少年s: 
449,回复@口西米二:我懂你什么意思了 
450,回复@就请叫我智慧吧:哈哈哈 
451,回复@暴躁老李在线:那谁知道你能不能用上了 
452,回复@是橙子味的喵大姬呀:买它 
453,回复@江小唄唄:哈哈哈哈哈哈哈 
454,回复@Nomoredawn: 
455,回复@xxzjrpanyu:我的是1G哦 
456,回复@一臭屁雯-:有病？@ 爷干屁啊 
457,回复 @小乔要更优秀:谢我干嘛？你可以让你男朋友试试，看他怎么说 
458,回复@_trl1209_:怎么的 你嫌我不够慢 
459,回复@大概喜欢范小娜:可是他单身 
460,回复@寡言oc74e:没有耳机和充电器了呀... 
461,回复@Jing_Feng4:哈哈哈哈谢谢您 
462,回复@MarS_BI:哈哈哈哈哈哈哈哈哈哈哈哎呀！ 
463,回复@E雯放屁不拉稀:骚气了哈哈哈哈哈哈哈哈 
464,@看你mb滚  
465,@是昨日春晖呀 
