编号,企业名称,人工智能技术,应用领域,所属国家,成立时间,资本市场状态,市值/估值/融资（亿美元）,成立时长,成立时长区间
1,Microsoft,计算机视觉技术/自然语言处理技术,办公,美国,1975,上市,22000,46,0-5
2,Google,计算机视觉技术/自然语言处理技术,综合,美国,1998,上市,17300,23,10-30
3,Facebook,人脸识别/深度学习,社交,美国,2004,上市,8547,17,10-30
4,百度,计算机视觉技术/自然语言处理技术/知识图谱,综合,中国,2001,上市,545,20,10-30
5,大疆创新,图像识别技术/智能引擎技术,无人机,中国,2006,战略融资,210,15,10-30
6,商汤科技,计算机视觉技术/深度学习,安防,中国,2014,D轮融资,70,7,5-10
7,旷视科技,计算机视觉技术,安防,中国,2011,D轮融资,40,10,5-10
8,科大讯飞,智能语音技术,综合,中国,1999,上市,108,22,10-30
9,Automation Anywhere,自然语言处理技术/非结构化数据认知,企业管理,美国,2003,B轮融资,68,18,10-30
10,IBM Watson,深度学习/智适应学习技术,计算机,美国,1911,上市,1198,110,百年老店
11,松鼠AI,智适应学习技术/机器学习,教育,中国,2015,A轮融资,11,6,5-10
12,字节跳动,跨媒体分析推理技术,资讯,中国,2012,IPO轮融资,750,9,5-10
13,Netflix,视频图像优化/个性推荐,媒体及内容,美国,1997,上市,1418,24,10-30
14,Graphcore,智能芯片技术,芯片,英国,2016,D轮融资,17,5,0-5
15,NVIDIA,智能芯片技术,芯片,美国,1993,上市,1450,28,10-30
16,阿里巴巴,智能推荐,电商,中国,1999,上市,3340,22,10-30
17,Waymo,自动驾驶,交通,美国,2016,C轮融资,1050,5,0-5
18,ABB Robotics,机器人及自动化技术,机器人,瑞士,1988,上市,514,33,10-30
19,Fanuc,机器人技术,制造,日本,1956,上市,362,56,30-100
20,PreferredNetworks,深度学习,物联网,日本,2016,C轮融资,20,5,0-5